Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fringe-bag,,,,,,,,,NAVY,,OS,,,'845175055000,0.0,shopify,deny,manual,95.00,,true,false,'845175055000,https://cdn.shopify.com/s/files/1/1796/0497/products/IMG_1417.jpg?v=1654186777,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/Fringe_Bag_VIV5001_410_navy.jpg?v=1654186806,lb,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/IMG_1419.jpg?v=1654186777,4,,,,,,,,,,,,,,,,,,,,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/IMG_1418.jpg?v=1654186777,5,,,,,,,,,,,,,,,,,,,,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/Screen_Shot_2018-05-09_at_4.12.51_PM_9b5688bb-2665-4ca0-b158-ad0efd8b5e12.png?v=1654186777,6,,,,,,,,,,,,,,,,,,,,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/IMG_1413.jpg?v=1654186777,7,,,,,,,,,,,,,,,,,,,,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/FringeBagVIV5001410navy.jpg?v=1654186777,8,,,,,,,,,,,,,,,,,,,,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/Fringe_Bag_VIV5001_410_navy_8c90f1d0-0ce5-41a1-9b6b-f6475f1ce6c6.jpg?v=1654186777,9,,,,,,,,,,,,,,,,,,,,,,
fringe-bag,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/Fringe_Bag_VIV5001_410_navy.jpg?v=1654186806,10,,,,,,,,,,,,,,,,,,,,,,
bhea-sandal,Bhea Sandal,"<meta charset=""utf-8"">
<p><span></span>This beautifully minimal slide will go with any outfit. Dressed up or down, you won't compromise comfort for style with the Bhea. </p>
<p class=""p1""> </p>
<p class=""p1"">MATERIALS &amp; CONSTRUCTION:<br></p>
<ul class=""ul1"">
<li class=""li2"">
<span class=""s1""></span>Genuine Italian leather upper</li>
</ul>
<ul class=""ul1"">
<li class=""li2"">
<span class=""s1""></span>Cushioned leather insole for comfort<br> and support</li>
</ul>
<ul class=""ul1"">
<li class=""li2"">
<span class=""s1""></span>Handmade in Italy's Puglia region</li>
</ul>
<p><strong>WEAR YOUR COCOBELLE SANDALS WITH PRIDE </strong><br>Purchasing a pair of Cocobelle sandals means you are directly supporting artisans in Italy and their sustainable handmade production model. One sandal at a time we are creating a community of conscious consumers with respect for people and the planet.  </p>
<p>Your sandals were designed and made to last well beyond the Summer because fashion shouldn't be fast, it should last. Franco &amp; Rocco made your sandals. </p>",Cocobelle,,Sandals,"all sandals, Classic Slides, Full Price Sandals, Leather Sandal, Made In Italy, Minimal, mothers day collection, Resort 2022, Size Chart, Slide Sandal, Spring 2021, Spring 2022, Summer 22",true,Color,Ecru,Size,36,,,'845175050579,453.59237,shopify,deny,manual,155.00,,true,false,'845175050579,https://cdn.shopify.com/s/files/1/1796/0497/products/BheaSandalBHA270ecruPAIR.jpg?v=1644252172,1,,false,,"This beautifully minimal leather slide will go with just about any outfit. Dressed up or down, you won't compromise comfort for style with the Bhea. Handmade in Italy 100% Leather upper",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/BheaSandalBHA270ecruPAIR.jpg?v=1644252172,lb,,,active
bhea-sandal,,,,,,,,,Ecru,,37,,,'845175050586,453.59237,shopify,deny,manual,155.00,,true,false,'845175050586,https://cdn.shopify.com/s/files/1/1796/0497/products/BheaSandalBHA270ecruSIDE.jpg?v=1644252172,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1796/0497/products/BheaSandalBHA270ecruPAIR.jpg?v=1644252172,lb,,,
